Country,Region,CPI score 2019
Denmark,WE/EU,87
New Zealand,AP,87
Finland,WE/EU,86
Singapore,AP,85
Sweden,WE/EU,85
Switzerland,WE/EU,85
Norway,WE/EU,84
Netherlands,WE/EU,82
Germany,WE/EU,80
Luxembourg,WE/EU,80
Australia,AP,77
Canada,AME,77
Hong Kong,AP,76
United Kingdom,WE/EU,77
Austria,WE/EU,77
Belgium,WE/EU,75
Estonia,WE/EU,74
Iceland,WE/EU,78
Japan,AP,73
Ireland,WE/EU,74
United Arab Emirates,MENA,71
Uruguay,AME,71
France,WE/EU,69
Bhutan,AP,68
Chile,AME,67
United States,AME,69
Seychelles,SSA,66
Taiwan,AP,65
Barbados,AME,62
Bahamas,AME,64
Qatar,MENA,62
Spain,WE/EU,62
"Korea, South",AP,59
Portugal,WE/EU,62
Botswana,SSA,61
Brunei Darussalam,AP,60
Israel,MENA,60
Lithuania,WE/EU,60
Slovenia,WE/EU,60
Saint Vincent and the Grenadines,AME,59
Cabo Verde,SSA,58
Costa Rica,AME,56
Cyprus,WE/EU,58
Latvia,WE/EU,56
Georgia,ECA,56
Poland,WE/EU,58
Saint Lucia,AME,55
Dominica,AME,55
Czechia,WE/EU,56
Oman,MENA,52
Rwanda,SSA,53
Grenada,AME,53
Italy,WE/EU,53
Malta,WE/EU,54
Mauritius,SSA,52
Saudi Arabia,MENA,53
Malaysia,AP,53
Namibia,SSA,52
Greece,WE/EU,48
Armenia,ECA,42
Jordan,MENA,48
Slovakia,WE/EU,50
Belarus,ECA,45
Croatia,WE/EU,47
Cuba,AME,48
Sao Tome and Principe,SSA,46
Montenegro,ECA,45
Senegal,SSA,45
Bulgaria,WE/EU,43
Hungary,WE/EU,44
Jamaica,AME,43
Romania,WE/EU,44
South Africa,SSA,44
Tunisia,MENA,43
Ghana,SSA,41
Maldives,AP,29
Vanuatu,AP,46
Argentina,AME,45
Bahrain,MENA,42
China,AP,41
Kuwait,MENA,40
Solomon Islands,AP,42
Benin,SSA,41
Guyana,AME,40
Lesotho,SSA,40
Burkina Faso,SSA,40
India,AP,41
Morocco,MENA,41
Timor-Leste,AP,38
Trinidad and Tobago,AME,40
Turkey,ECA,39
Colombia,AME,37
Ecuador,AME,38
Brazil,AME,35
Ethiopia,SSA,37
Kazakhstan,ECA,34
Peru,AME,36
Serbia,ECA,39
Sri Lanka,AP,38
Suriname,AME,44
Tanzania,SSA,37
Gambia,SSA,37
Indonesia,AP,40
Albania,ECA,35
Algeria,MENA,35
Cote d'Ivoire,SSA,35
El Salvador,AME,34
Kosovo,ECA,36
Thailand,AP,36
Vietnam,AP,37
Bosnia and Herzegovina,ECA,36
Mongolia,AP,35
North Macedonia,ECA,35
Panama,AME,36
Moldova,ECA,32
Philippines,AP,34
Egypt,MENA,35
Eswatini,SSA,34
Nepal,AP,34
Sierra Leone,SSA,33
Ukraine,ECA,30
Zambia,SSA,34
Niger,SSA,32
Bolivia,AME,31
Kenya,SSA,28
Kyrgyzstan,ECA,30
Mexico,AME,29
Pakistan,AP,32
Azerbaijan,ECA,30
Gabon,SSA,31
Malawi,SSA,31
Mali,SSA,29
Russia,ECA,28
Laos,AP,29
Mauritania,SSA,28
Togo,SSA,29
Dominican Republic,AME,28
Guinea,SSA,29
Liberia,SSA,28
Myanmar,AP,29
Paraguay,AME,28
Angola,SSA,26
Djibouti,SSA,30
Papua New Guinea,AP,28
Uganda,SSA,28
Bangladesh,AP,26
Central African Republic,SSA,25
Uzbekistan,ECA,25
Cameroon,SSA,25
Guatemala,AME,26
Iran,MENA,26
Lebanon,MENA,28
Madagascar,SSA,24
Mozambique,SSA,26
Nigeria,SSA,26
Tajikistan,ECA,25
Honduras,AME,26
Zimbabwe,SSA,24
Nicaragua,AME,22
Cambodia,AP,20
Chad,SSA,20
Comoros,SSA,25
Eritrea,SSA,23
Iraq,MENA,20
Afghanistan,AP,16
Burundi,SSA,19
Congo,SSA,19
Guinea Bissau,SSA,18
Turkmenistan,ECA,19
Democratic Republic of the Congo,SSA,18
Haiti,AME,18
"Korea, North",AP,17
Libya,MENA,18
Equatorial Guinea,SSA,16
Sudan,SSA,16
Venezuela,AME,16
Yemen,MENA,15
Syria,MENA,13
Somalia,SSA,9
South Sudan,SSA,12
