countries,hf_score
Albania,7.81
Algeria,5.2
Angola,5.48
Argentina,7.05
Armenia,7.69
Australia,8.68
Austria,8.45
Azerbaijan,6.29
"Bahamas, The",7.72
Bahrain,6.18
Bangladesh,5.67
Barbados,6.99
Belarus,6.67
Belgium,8.28
Belize,6.92
Benin,6.81
Bhutan,6.52
Bolivia,6.78
Bosnia and Herzegovina,7.34
Botswana,7.35
Brazil,6.83
Brunei Darussalam,6.01
Bulgaria,7.93
Burkina Faso,6.6
Burundi,5.42
Cabo Verde,7.75
Cambodia,6.83
Cameroon,5.46
Canada,8.64
Central African Republic,5.25
Chad,5.59
Chile,8.18
China,6.07
Colombia,6.85
"Congo, Dem. Rep.",5.29
"Congo, Rep.",5.51
Costa Rica,7.84
Cote d'Ivoire,6.51
Croatia,7.92
Cyprus,8.05
Czech Republic,8.29
Denmark,8.73
Dominican Republic,7.37
Ecuador,7.14
"Egypt, Arab Rep.",4.67
El Salvador,7.03
Estonia,8.54
Eswatini,6.02
Ethiopia,5.4
Fiji,6.98
Finland,8.49
France,8.05
Gabon,6.14
"Gambia, The",6.27
Georgia,7.87
Germany,8.52
Ghana,7.04
Greece,7.38
Guatemala,7.21
Guinea,5.45
Guinea-Bissau,6.15
Guyana,7.0
Haiti,6.68
Honduras,6.94
"Hong Kong SAR, China",8.74
Hungary,7.61
Iceland,8.39
India,6.43
Indonesia,7.07
"Iran, Islamic Rep.",4.53
Iraq,4.9
Ireland,8.62
Israel,7.44
Italy,8.12
Jamaica,7.44
Japan,8.49
Jordan,6.92
Kazakhstan,6.99
Kenya,6.75
"Korea, Rep.",8.27
Kuwait,6.39
Kyrgyz Republic,7.05
Lao PDR,6.16
Latvia,8.34
Lebanon,6.7
Lesotho,6.6
Liberia,6.4
Libya,4.83
Lithuania,8.37
Luxembourg,8.49
Madagascar,6.54
Malawi,6.57
Malaysia,6.9
Mali,5.92
Malta,8.33
Mauritania,5.39
Mauritius,7.55
Mexico,6.85
Moldova,7.18
Mongolia,7.61
Montenegro,7.46
Morocco,6.28
Mozambique,6.64
Myanmar,5.45
Namibia,6.92
Nepal,6.76
Netherlands,8.48
New Zealand,8.87
Nicaragua,6.54
Niger,5.97
Nigeria,6.05
North Macedonia,7.4
Norway,8.45
Oman,6.03
Pakistan,5.64
Panama,7.87
Papua New Guinea,6.72
Paraguay,7.19
Peru,7.68
Philippines,6.9
Poland,7.72
Portugal,8.27
Qatar,6.07
Romania,8.09
Russian Federation,6.31
Rwanda,6.97
Saudi Arabia,5.29
Senegal,6.66
Serbia,7.34
Seychelles,7.34
Sierra Leone,6.21
Singapore,8.21
Slovak Republic,7.95
Slovenia,8.05
South Africa,7.07
Spain,8.2
Sri Lanka,6.72
Sudan,4.01
Suriname,7.31
Sweden,8.52
Switzerland,8.82
Syrian Arab Republic,3.97
Taiwan,8.42
Tajikistan,5.77
Tanzania,6.28
Thailand,6.37
Timor-Leste,6.89
Togo,6.13
Trinidad and Tobago,7.13
Tunisia,6.04
Turkey,6.27
Uganda,6.58
Ukraine,6.45
United Arab Emirates,6.17
United Kingdom,8.44
United States,8.44
Uruguay,7.92
"Venezuela, RB",4.08
Vietnam,6.25
"Yemen, Rep.",4.17
Zambia,6.71
Zimbabwe,5.59
